Component_ID,Lot_ID,Value_0h,Value_24h,Value_96h,Value_168h,Component_Type,Ground_Truth
C0001,L01,10.248,12.193,16.304,24.622,Gradual_Degradation,Anomaly
C0002,L01,10.14,12.544,17.168,25.711,Gradual_Degradation,Anomaly
C0003,L01,9.768,10.175,10.391,11.772,Normal,Normal
C0004,L01,10.408,10.603,11.331,11.766,Normal,Normal
C0005,L01,10.733,11.188,12.956,14.113,Normal,Normal
C0006,L01,10.061,10.458,11.278,12.161,Normal,Normal
C0007,L01,9.699,10.57,11.41,12.407,Normal,Normal
C0008,L01,9.885,10.463,11.526,11.742,Normal,Normal
C0009,L01,9.336,16.533,28.97,44.734,Latent_Defect,Anomaly
C0010,L01,9.495,9.679,10.541,11.963,Normal,Normal
C0011,L01,10.172,10.319,11.494,12.849,Normal,Normal
C0012,L01,10.447,11.098,11.846,12.723,Normal,Normal
C0013,L01,10.166,10.861,11.807,12.643,Normal,Normal
C0014,L01,10.59,10.91,11.889,13.29,Normal,Normal
C0015,L01,10.181,11.923,18.119,26.457,Gradual_Degradation,Anomaly
C0016,L01,11.686,12.002,13.028,13.909,Normal,Normal
C0017,L01,10.046,10.148,24.08,27.584,Sudden_Degradation,Anomaly
C0018,L01,9.605,10.254,11.012,11.811,Normal,Normal
C0019,L01,10.458,12.589,18.687,26.862,Gradual_Degradation,Anomaly
C0020,L01,9.845,10.48,11.362,11.777,Normal,Normal
C0021,L01,10.148,10.7,10.904,12.042,Normal,Normal
C0022,L01,9.802,10.244,11.196,12.358,Normal,Normal
C0023,L01,10.943,11.478,12.472,12.803,Normal,Normal
C0024,L01,9.464,9.765,10.783,12.769,Normal,Normal
C0025,L01,9.904,10.464,11.566,12.563,Normal,Normal
C0026,L01,10.384,11.924,17.557,24.647,Gradual_Degradation,Anomaly
C0027,L01,10.701,10.921,11.657,12.688,Normal,Normal
C0028,L01,9.753,10.438,11.468,12.266,Normal,Normal
C0029,L01,9.225,9.738,10.899,11.533,Normal,Normal
C0030,L01,10.31,10.778,11.543,12.414,Normal,Normal
C0031,L01,10.407,11.914,18.006,28.545,Gradual_Degradation,Anomaly
C0032,L01,9.838,10.297,25.816,31.598,Sudden_Degradation,Anomaly
C0033,L01,9.382,10.853,16.347,25.565,Gradual_Degradation,Anomaly
C0034,L01,10.113,10.783,11.871,12.585,Normal,Normal
C0035,L01,10.933,11.528,12.748,13.366,Normal,Normal
C0036,L01,9.624,11.172,16.943,25.356,Gradual_Degradation,Anomaly
C0037,L01,10.411,11.29,11.879,12.571,Normal,Normal
C0038,L01,10.439,10.891,11.895,13.477,Normal,Normal
C0039,L01,9.868,10.912,11.623,13.014,Normal,Normal
C0040,L01,10.021,10.494,11.426,12.712,Normal,Normal
C0041,L01,10.237,17.164,28.259,43.813,Latent_Defect,Anomaly
C0042,L01,10.523,10.954,12.019,12.52,Normal,Normal
C0043,L01,10.087,10.664,11.733,12.409,Normal,Normal
C0044,L01,10.529,12.549,18.416,27.469,Gradual_Degradation,Anomaly
C0045,L01,9.311,10.936,16.18,24.437,Gradual_Degradation,Anomaly
